,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,FIE 1 minus FIE 2,num of Valence 1 minus num of Valence 2,IE 1 minus IE 2,G_C2O2 - Gco,Gc-c_ML,Gc-c_Final
0,O,O,1.0,8.0,3.44,0.63,13.62,1.46,1.52,6.0,0.0,0.0,0.0,0.0,0.0,-0.01526,0.13076752424240112,-0.01526
1,O,OH,1.5,6.25,3.13,0.56,13.61,1.28,1.44,6.5,0.62,0.15,0.01,1.0,0.6,0.06446,0.06454789638519287,0.06446
2,O,N,1.0,7.5,3.24,0.67,14.08,0.7,1.54,5.5,0.4,0.08,0.92,1.0,0.91,,0.05865770950913429,0.05865770950913429
3,O,NH,1.5,6.0,3.03,0.58,13.84,0.9,1.45,6.0,0.82,0.11,0.45,0.0,0.82,,0.06383264809846878,0.06383264809846878
4,O,NH2,2.0,5.5,2.96,0.54,13.76,0.97,1.42,6.5,0.96,0.18,0.29,1.0,2.84,,0.03107498399913311,0.03107498399913311
5,O,NH3,2.5,5.25,2.93,0.53,13.73,1.0,1.4,7.0,1.03,0.21,0.21,2.0,3.55,,0.03107498399913311,0.03107498399913311
6,O,C,1.0,7.0,3.0,0.69,12.44,1.36,1.61,5.0,0.89,0.12,2.36,2.0,2.36,,0.09142711758613586,0.09142711758613586
7,O,CH,1.5,5.75,2.91,0.59,13.02,1.23,1.49,5.5,1.07,0.09,1.19,1.0,2.98,,-0.0820389911532402,-0.0820389911532402
8,O,CH2,2.0,5.33,2.88,0.55,13.22,1.19,1.44,6.0,1.12,0.17,0.8,0.0,3.22,,0.03107498399913311,0.03107498399913311
9,O,CH3,2.5,5.13,2.86,0.53,13.32,1.17,1.42,6.5,1.15,0.2,0.6,1.0,3.78,,0.03107498399913311,0.03107498399913311
10,O,S,1.0,12.0,3.01,0.83,11.99,1.77,1.66,6.0,0.86,0.4,3.26,0.0,3.26,,0.29240044951438904,0.29240044951438904
